4/25/19
Time         Wind Dir   Wind Spd  Wind Gust   Humidity       Temp   Tot Rain Wind Chill Heat Index  Dew Point   Barom SL  DailyRain   HourRain   RainRate
                    °        mph        mph          %         °F         in         °F         °F         °F         in         in         in      in/hr
12:00am             9          2          3         31       50.9       8.35       50.9       50.2       21.4      23.58       0.00       0.00      0.000
12:02am             9          1          3         31       50.9       8.35       50.9       50.2       21.4      23.57       0.00       0.00      0.000
12:04am             9          0          3         31       50.9       8.35       50.9       50.2       21.4      23.56       0.00       0.00      0.000
12:06am            10          2          3         32       50.9       8.35       50.9       50.2       22.1      23.57       0.00       0.00      0.000
12:08am            10          0          3         31       50.8       8.35       50.8       50.1       21.3      23.57       0.00       0.00      0.000
12:10am            10          0          3         31       50.8       8.35       50.8       50.1       21.3      23.57       0.00       0.00      0.000
12:12am            10          0          3         31       50.6       8.35       50.6       49.9       21.1      23.57       0.00       0.00      0.000
12:14am            10          0          3         32       50.5       8.35       50.5       49.8       21.8      23.56       0.00       0.00      0.000
12:16am            10          0          3         32       50.3       8.35       50.3       49.6       21.6      23.57       0.00       0.00      0.000
12:18am            10          0          3         32       50.0       8.35       50.0       49.3       21.3      23.57       0.00       0.00      0.000
12:20am            10          0          3         33       50.0       8.35       50.0       49.4       22.0      23.56       0.00       0.00      0.000
12:22am            10          0          3         33       49.9       8.35       49.9       49.3       22.0      23.56       0.00       0.00      0.000
12:24am            10          0          3         33       49.7       8.35       49.7       49.1       21.8      23.56       0.00       0.00      0.000
12:26am            10          0          3         33       49.6       8.35       49.6       49.0       21.7      23.57       0.00       0.00      0.000
12:28am            10          0          3         34       49.5       8.35       49.5       49.0       22.3      23.56       0.00       0.00      0.000
12:30am            10          0          3         33       49.3       8.35       49.3       48.7       21.4      23.57       0.00       0.00      0.000
12:32am            10          0          0         34       49.2       8.35       49.2       48.7       22.0      23.56       0.00       0.00      0.000
12:34am           246          0          2         34       49.3       8.35       49.3       48.8       22.1      23.56       0.00       0.00      0.000
12:36am             3          0          3         35       49.9       8.35       49.9       49.4       23.4      23.56       0.00       0.00      0.000
12:38am           106          0          3         34       50.6       8.35       50.6       50.1       23.3      23.58       0.00       0.00      0.000
12:40am             0          2          3         33       51.6       8.35       51.6       51.0       23.5      23.57       0.00       0.00      0.000
12:42am            88          1          3         33       52.5       8.35       52.5       51.9       24.2      23.57       0.00       0.00      0.000
12:44am           124          2          3         33       53.4       8.35       53.4       52.8       25.0      23.56       0.00       0.00      0.000
12:46am             6          3          3         32       54.4       8.35       54.4       53.7       25.2      23.56       0.00       0.00      0.000
12:48am            83          2          3         31       55.2       8.35       55.2       54.5       25.1      23.57       0.00       0.00      0.000
12:50am             3          2          5         30       55.9       8.35       55.9       55.1       24.9      23.55       0.00       0.00      0.000
12:52am            38          0          5         30       56.4       8.35       56.4       55.6       25.4      23.56       0.00       0.00      0.000
12:54am             5          2          5         30       56.6       8.35       56.6       55.8       25.5      23.56       0.00       0.00      0.000
12:56am             0          2          5         29       56.9       8.35       56.9       56.0       25.0      23.58       0.00       0.00      0.000
12:58am           122          2          5         29       57.1       8.35       57.1       56.2       25.2      23.58       0.00       0.00      0.000
1:00am             36          4          5         29       57.4       8.35       57.4       56.5       25.4      23.57       0.00       0.00      0.000
1:02am              3          0          5         29       57.4       8.35       57.4       56.5       25.4      23.56       0.00       0.00      0.000
1:04am             35          0          5         29       57.5       8.35       57.5       56.6       25.5      23.56       0.00       0.00      0.000
1:06am             30          0          5         29       57.5       8.35       57.5       56.6       25.5      23.56       0.00       0.00      0.000
1:08am             87          2          5         29       57.5       8.35       57.5       56.6       25.5      23.55       0.00       0.00      0.000
1:10am             52          0          5         29       57.5       8.35       57.5       56.6       25.5      23.57       0.00       0.00      0.000
1:12am              4          0          5         29       57.5       8.35       57.5       56.6       25.5      23.56       0.00       0.00      0.000
1:14am            178          3          5         29       57.5       8.35       57.5       56.6       25.5      23.56       0.00       0.00      0.000
1:16am              6          1          5         29       57.5       8.35       57.5       56.6       25.5      23.56       0.00       0.00      0.000
1:18am              5          0          5         28       57.5       8.35       57.5       56.6       24.7      23.56       0.00       0.00      0.000
1:20am            145          2          5         29       57.7       8.35       57.7       56.8       25.7      23.57       0.00       0.00      0.000
1:22am            254          1          5         29       57.7       8.35       57.7       56.8       25.7      23.55       0.00       0.00      0.000
1:24am              2          2          5         29       57.8       8.35       57.8       56.9       25.8      23.55       0.00       0.00      0.000
1:26am             19          0          5         29       57.7       8.35       57.7       56.8       25.7      23.56       0.00       0.00      0.000
1:28am              5          3          5         29       57.7       8.35       57.7       56.8       25.7      23.55       0.00       0.00      0.000
1:30am              8          1          5         29       57.7       8.35       57.7       56.8       25.7      23.56       0.00       0.00      0.000
1:32am             15          2          3         29       57.7       8.35       57.7       56.8       25.7      23.55       0.00       0.00      0.000
1:34am              6          0          5         29       57.8       8.35       57.8       56.9       25.8      23.55       0.00       0.00      0.000
1:36am            301          0          5         29       57.8       8.35       57.8       56.9       25.8      23.56       0.00       0.00      0.000
1:38am              6          1          5         29       57.8       8.35       57.8       56.9       25.8      23.55       0.00       0.00      0.000
1:40am            179          4          5         30       57.7       8.35       57.7       56.9       26.5      23.55       0.00       0.00      0.000
1:42am            266          0          5         29       57.5       8.35       57.5       56.6       25.5      23.57       0.00       0.00      0.000
1:44am            265          0          5         29       57.4       8.35       57.4       56.5       25.4      23.55       0.00       0.00      0.000
1:46am            252          0          5         29       57.1       8.35       57.1       56.2       25.2      23.56       0.00       0.00      0.000
1:48am              4          0          5         29       56.9       8.35       56.9       56.0       25.0      23.55       0.00       0.00      0.000
1:50am              4          0          5         29       56.5       8.35       56.5       55.6       24.6      23.57       0.00       0.00      0.000
1:52am              4          0          5         30       56.2       8.35       56.2       55.4       25.2      23.56       0.00       0.00      0.000
1:54am              4          0          5         31       55.9       8.35       55.9       55.2       25.7      23.55       0.00       0.00      0.000
1:56am              4          0          5         31       55.6       8.35       55.6       54.9       25.5      23.55       0.00       0.00      0.000
1:58am              4          2          5         31       55.3       8.35       55.3       54.6       25.2      23.55       0.00       0.00      0.000
2:00am              4          2          5         31       54.8       8.35       54.8       54.1       24.8      23.55       0.00       0.00      0.000
2:02am              4          0          2         31       54.3       8.35       54.3       53.6       24.3      23.55       0.00       0.00      0.000
2:04am              4          0          2         32       53.8       8.35       53.8       53.1       24.7      23.57       0.00       0.00      0.000
2:06am              4          0          2         33       53.6       8.35       53.6       53.0       25.2      23.56       0.00       0.00      0.000
2:08am              4          0          2         33       53.4       8.35       53.4       52.8       25.0      23.55       0.00       0.00      0.000
2:10am              4          0          2         33       53.2       8.35       53.2       52.6       24.9      23.57       0.00       0.00      0.000
2:12am              4          0          2         33       53.3       8.35       53.3       52.7       25.0      23.56       0.00       0.00      0.000
2:14am              4          0          2         33       53.1       8.35       53.1       52.5       24.8      23.56       0.00       0.00      0.000
2:16am              4          0          2         34       53.1       8.35       53.1       52.6       25.5      23.55       0.00       0.00      0.000
2:18am              4          0          2         36       53.0       8.35       53.0       52.6       26.8      23.57       0.00       0.00      0.000
2:20am              4          0          2         35       52.8       8.35       52.8       52.3       25.9      23.55       0.00       0.00      0.000
2:22am              4          0          2         34       52.5       8.35       52.5       52.0       25.0      23.56       0.00       0.00      0.000
2:24am              4          0          2         34       52.2       8.35       52.2       51.7       24.7      23.55       0.00       0.00      0.000
2:26am              4          0          2         34       52.0       8.35       52.0       51.5       24.5      23.55       0.00       0.00      0.000
2:28am              4          2          2         35       51.6       8.35       51.6       51.1       24.9      23.55       0.00       0.00      0.000
2:30am              4          0          2         35       51.4       8.35       51.4       50.9       24.7      23.55       0.00       0.00      0.000
2:32am              4          0          1         35       51.2       8.35       51.2       50.7       24.5      23.56       0.00       0.00      0.000
2:34am              4          0          1         35       50.9       8.35       50.9       50.4       24.2      23.56       0.00       0.00      0.000
2:36am              4          0          2         36       50.6       8.35       50.6       50.2       24.6      23.56       0.00       0.00      0.000
2:38am              4          0          2         35       50.2       8.35       50.2       49.7       23.6      23.56       0.00       0.00      0.000
2:40am              4          0          2         37       49.8       8.35       49.8       49.5       24.6      23.56       0.00       0.00      0.000
2:42am              4          0          2         37       49.6       8.35       49.6       49.3       24.4      23.56       0.00       0.00      0.000
2:44am              4          0          2         36       49.4       8.35       49.4       49.0       23.6      23.57       0.00       0.00      0.000
2:46am              4          0          2         37       49.3       8.35       49.3       49.0       24.1      23.56       0.00       0.00      0.000
